Repository;PathDataset;N_TestNonFlaky;N_TestFlaky;N_TestFlakyPersi;N_TF_NonRilevatiDalDetector;Lista_TF_NonRilevatiDalDetector
tinkerpop;D:\Universita\FlakyPaper\DataSet\CSV\tinkerpop.csv;1974;3;1;['org.apache.tinkerpop.gremlin.driver.ser.binary.GraphBinaryReaderWriterRoundTripTest.shouldWriteAndReadTypeTraversalMetrics'];['org.apache.tinkerpop.gremlin.driver.ser.binary.GraphBinaryReaderWriterRoundTripTest.shouldWriteAndReadTypeTraversalMetrics']
java-cas-client;D:\Universita\FlakyPaper\DataSet\CSV\java-cas-client.csv;17;0;1;[];[]
apollo;D:\Universita\FlakyPaper\DataSet\CSV\apollo.csv;559;0;4;['com.ctrip.framework.apollo.adminservice.controller.ReleaseControllerTest.testReleaseBuild', 'com.ctrip.framework.apollo.biz.service.NamespaceBranchServiceTest.testUpdateBranchGrayRulesWithUpdateOnce', 'com.ctrip.framework.apollo.biz.service.NamespaceBranchServiceTest.testUpdateBranchGrayRulesWithUpdateTwice', 'com.ctrip.framework.apollo.configservice.service.ReleaseMessageServiceWithCacheTest.testWhenReleaseMsgSizeBiggerThan500'];['com.ctrip.framework.apollo.adminservice.controller.ReleaseControllerTest.testReleaseBuild', 'com.ctrip.framework.apollo.biz.service.NamespaceBranchServiceTest.testUpdateBranchGrayRulesWithUpdateOnce', 'com.ctrip.framework.apollo.biz.service.NamespaceBranchServiceTest.testUpdateBranchGrayRulesWithUpdateTwice', 'com.ctrip.framework.apollo.configservice.service.ReleaseMessageServiceWithCacheTest.testWhenReleaseMsgSizeBiggerThan500']
apollo(e35ce8c013327b91d034b62d53eece055fa64970);D:\Universita\FlakyPaper\DataSet\CSV\apollo(e35ce8c013327b91d034b62d53eece055fa64970).csv;814;4;0;[];[]
arangodb-tinkerpop-provider;D:\Universita\FlakyPaper\DataSet\CSV\arangodb-tinkerpop-provider.csv;0;0;1;[];[]
AuthMeReloaded;D:\Universita\FlakyPaper\DataSet\CSV\AuthMeReloaded.csv;1122;1;0;[];[]
aws-dynamodb-encryption-java;D:\Universita\FlakyPaper\DataSet\CSV\aws-dynamodb-encryption-java.csv;425;2;0;[];[]
Jprotobuf-rpc-socket;D:\Universita\FlakyPaper\DataSet\CSV\Jprotobuf-rpc-socket.csv;44;2;5;['com.baidu.jprotobuf.pbrpc.TrunkEchoServiceTest.testGzip'];['com.baidu.jprotobuf.pbrpc.TrunkEchoServiceTest.testGzip']
biojava;D:\Universita\FlakyPaper\DataSet\CSV\biojava.csv;931;17;10;[];[]
biojava(65ad15fe58dcedd258fee1c14505e424c8536efc);D:\Universita\FlakyPaper\DataSet\CSV\biojava(65ad15fe58dcedd258fee1c14505e424c8536efc).csv;941;10;3;[];[]
biojava(245742d522d12440ece32f5c2d665ff81c465e98);D:\Universita\FlakyPaper\DataSet\CSV\biojava(245742d522d12440ece32f5c2d665ff81c465e98).csv;949;2;9;[];[]
biojava(129a0a1dd0fe2e8daac2b19748e707bcbfd3978d);D:\Universita\FlakyPaper\DataSet\CSV\biojava(129a0a1dd0fe2e8daac2b19748e707bcbfd3978d).csv;952;0;1;['org.biojava.nbio.structure.secstruc.TestDSSParser.testDSSParser'];['org.biojava.nbio.structure.secstruc.TestDSSParser.testDSSParser']
utils;D:\Universita\FlakyPaper\DataSet\CSV\utils.csv;102;2;0;[];[]
webdrivermanager;D:\Universita\FlakyPaper\DataSet\CSV\webdrivermanager.csv;3;0;1;[];[]
edn-java;D:\Universita\FlakyPaper\DataSet\CSV\edn-java.csv;61;1;0;[];[]
braintree_java;D:\Universita\FlakyPaper\DataSet\CSV\braintree_java.csv;1097;1;0;[];[]
javacpp;D:\Universita\FlakyPaper\DataSet\CSV\javacpp.csv;60;0;3;['org.bytedeco.javacpp.BufferTest.org.bytedeco.javacpp.BufferTest', 'org.bytedeco.javacpp.EnumTest.org.bytedeco.javacpp.EnumTest', 'org.bytedeco.javacpp.PointerTest.org.bytedeco.javacpp.PointerTest'];['org.bytedeco.javacpp.BufferTest.org.bytedeco.javacpp.BufferTest', 'org.bytedeco.javacpp.EnumTest.org.bytedeco.javacpp.EnumTest', 'org.bytedeco.javacpp.PointerTest.org.bytedeco.javacpp.PointerTest']
c2mon;D:\Universita\FlakyPaper\DataSet\CSV\c2mon.csv;890;6;2;[];[]
castle-java;D:\Universita\FlakyPaper\DataSet\CSV\castle-java.csv;80;14;0;[];[]
common-kafka;D:\Universita\FlakyPaper\DataSet\CSV\common-kafka.csv;293;5;0;[];[]
vertx-completable-future;D:\Universita\FlakyPaper\DataSet\CSV\vertx-completable-future.csv;55;1;0;[];[]
classgraph;D:\Universita\FlakyPaper\DataSet\CSV\classgraph.csv;77;0;1;[];[]
altus-sdk-java;D:\Universita\FlakyPaper\DataSet\CSV\altus-sdk-java.csv;81;1;0;[];[]
cloud-slang;D:\Universita\FlakyPaper\DataSet\CSV\cloud-slang.csv;723;4;2;[];[]
cloud-slang(2b5914c479984244f656af5c1eed0e081e988d6a);D:\Universita\FlakyPaper\DataSet\CSV\cloud-slang(2b5914c479984244f656af5c1eed0e081e988d6a).csv;715;1;3;[];[]
excelastic;D:\Universita\FlakyPaper\DataSet\CSV\excelastic.csv;7;0;1;[];[]
kafka-connect-elasticsearch;D:\Universita\FlakyPaper\DataSet\CSV\kafka-connect-elasticsearch.csv;150;2;0;[];[]
tessera;D:\Universita\FlakyPaper\DataSet\CSV\tessera.csv;2107;6;0;[];[]
ghprb-plugin;D:\Universita\FlakyPaper\DataSet\CSV\ghprb-plugin.csv;78;1;0;[];[]
WebCollector;D:\Universita\FlakyPaper\DataSet\CSV\WebCollector.csv;10;1;0;[];[]
cukes;D:\Universita\FlakyPaper\DataSet\CSV\cukes.csv;71;1;5;['lv.ctco.cukes.core.RunCukesTest.Whenletvariable"var1"toberandompasswordwithlength8', 'lv.ctco.cukes.oauth.sample.RunCukesOAuthTest.Andresponsecontains"Readsuccess"', 'lv.ctco.cukes.rabbitmq.RunCukesRabbmitMQTest.Andcontent-typeis"application/json"', 'lv.ctco.cukes.rest.run.RunCustomCukesTest.*mockresponsewillhaveheader"expected"withvalue"hello"', 'lv.ctco.cukes.plugins.RunCukesTest.Givenwaitfor1second'];['lv.ctco.cukes.core.RunCukesTest.Whenletvariable"var1"toberandompasswordwithlength8', 'lv.ctco.cukes.oauth.sample.RunCukesOAuthTest.Andresponsecontains"Readsuccess"', 'lv.ctco.cukes.rabbitmq.RunCukesRabbmitMQTest.Andcontent-typeis"application/json"', 'lv.ctco.cukes.rest.run.RunCustomCukesTest.*mockresponsewillhaveheader"expected"withvalue"hello"', 'lv.ctco.cukes.plugins.RunCukesTest.Givenwaitfor1second']
openhtmltopdf;D:\Universita\FlakyPaper\DataSet\CSV\openhtmltopdf.csv;43;3;33;[];[]
bitcoinj;D:\Universita\FlakyPaper\DataSet\CSV\bitcoinj.csv;400;0;3;['com.google.bitcoin.core.H2FullPrunedBlockChainTest.testFirst100KBlocks'];['com.google.bitcoin.core.H2FullPrunedBlockChainTest.testFirst100KBlocks']
datadog-kafka-connect-logs;D:\Universita\FlakyPaper\DataSet\CSV\datadog-kafka-connect-logs.csv;12;1;0;[];[]
jmeter-datadog-backend-listener;D:\Universita\FlakyPaper\DataSet\CSV\jmeter-datadog-backend-listener.csv;31;1;0;[];[]
jmxfetch;D:\Universita\FlakyPaper\DataSet\CSV\jmxfetch.csv;61;4;0;[];[]
metrics;D:\Universita\FlakyPaper\DataSet\CSV\metrics.csv;297;1;0;[];[]
rxjava2-extras;D:\Universita\FlakyPaper\DataSet\CSV\rxjava2-extras.csv;478;6;0;[];[]
dnsjava;D:\Universita\FlakyPaper\DataSet\CSV\dnsjava.csv;475;0;1;['org.xbill.DNS.APLRecordTest.test_malformed_address'];['org.xbill.DNS.APLRecordTest.test_malformed_address']
Achilles;D:\Universita\FlakyPaper\DataSet\CSV\Achilles.csv;381;24;6;[];[]
hutool;D:\Universita\FlakyPaper\DataSet\CSV\hutool.csv;494;0;3;['cn.hutool.core.text.StrJoinerTest.joinMultiArrayTest', 'cn.hutool.core.util.JAXBUtilTest.beanToXmlTest', 'cn.hutool.json.xml.XMLTest.toXmlTest'];['cn.hutool.core.text.StrJoinerTest.joinMultiArrayTest', 'cn.hutool.core.util.JAXBUtilTest.beanToXmlTest', 'cn.hutool.json.xml.XMLTest.toXmlTest']
dropwizard;D:\Universita\FlakyPaper\DataSet\CSV\dropwizard.csv;1360;6;3;['io.dropwizard.configuration.JsonConfigurationFactoryTest.printsDidYouMeanOnUnrecognizedField', 'io.dropwizard.configuration.YamlConfigurationFactoryTest.printsDidYouMeanOnUnrecognizedField'];['io.dropwizard.configuration.JsonConfigurationFactoryTest.printsDidYouMeanOnUnrecognizedField', 'io.dropwizard.configuration.YamlConfigurationFactoryTest.printsDidYouMeanOnUnrecognizedField']
dropwizard(df39fdeed1d14f7b014a22db59b06bfd4e562edd);D:\Universita\FlakyPaper\DataSet\CSV\dropwizard(df39fdeed1d14f7b014a22db59b06bfd4e562edd).csv;1452;3;0;[];[]
dropwizard(616ed866460ca909cb30a4eafb786c6040218ae8);D:\Universita\FlakyPaper\DataSet\CSV\dropwizard(616ed866460ca909cb30a4eafb786c6040218ae8).csv;1409;4;2;[];[]
dropwizard(cf2230d3bad462c5242c1b9bf968dfa2537b081d);D:\Universita\FlakyPaper\DataSet\CSV\dropwizard(cf2230d3bad462c5242c1b9bf968dfa2537b081d).csv;1383;1;0;[];[]
jsonex;D:\Universita\FlakyPaper\DataSet\CSV\jsonex.csv;132;12;0;[];[]
mTracker;D:\Universita\FlakyPaper\DataSet\CSV\mTracker.csv;49;3;0;[];[]
taxonomy-sdk;D:\Universita\FlakyPaper\DataSet\CSV\taxonomy-sdk.csv;0;0;1;[];[]
tyrus;D:\Universita\FlakyPaper\DataSet\CSV\tyrus.csv;320;2;9;[];[]
jetty.project;D:\Universita\FlakyPaper\DataSet\CSV\jetty.project.csv;3949;1;1;[];[]
eco-schema-catalog;D:\Universita\FlakyPaper\DataSet\CSV\eco-schema-catalog.csv;234;9;0;[];[]
hibernate-ogm;D:\Universita\FlakyPaper\DataSet\CSV\hibernate-ogm.csv;380;0;8;[];[]
ecchronos;D:\Universita\FlakyPaper\DataSet\CSV\ecchronos.csv;822;5;0;[];[]
para;D:\Universita\FlakyPaper\DataSet\CSV\para.csv;318;0;1;['com.erudika.para.persistence.MockDAOTest.testReadPage'];['com.erudika.para.persistence.MockDAOTest.testReadPage']
esper;D:\Universita\FlakyPaper\DataSet\CSV\esper.csv;1440;5;0;[];[]
esper(590fa9c9eb854f1420b9d337b802aca19f963cc0);D:\Universita\FlakyPaper\DataSet\CSV\esper(590fa9c9eb854f1420b9d337b802aca19f963cc0).csv;902;2;31;[];[]
jsondoc;D:\Universita\FlakyPaper\DataSet\CSV\jsondoc.csv;77;0;1;[];[]
facebook-java-business-sdk;D:\Universita\FlakyPaper\DataSet\CSV\facebook-java-business-sdk.csv;48;1;2;[];[]
facebook-java-business-sdk(4d9fd05f8d3909d23093fbd65c6b2b84c32f1ba9);D:\Universita\FlakyPaper\DataSet\CSV\facebook-java-business-sdk(4d9fd05f8d3909d23093fbd65c6b2b84c32f1ba9).csv;40;0;1;[];[]
jackson-annotations;D:\Universita\FlakyPaper\DataSet\CSV\jackson-annotations.csv;0;0;1;['com.fasterxml.jackson.annotation.JsonIncludePropertiesTest.testFromAnnotation'];['com.fasterxml.jackson.annotation.JsonIncludePropertiesTest.testFromAnnotation']
jackson-databind(9b11650a6c3fee9ef9e3fb264d2244f65affc2ee);D:\Universita\FlakyPaper\DataSet\CSV\jackson-databind(9b11650a6c3fee9ef9e3fb264d2244f65affc2ee).csv;26;0;1;['com.fasterxml.jackson.databind.introspect.TestNamingStrategyStd.testUpperSnakeCaseTranslations'];['com.fasterxml.jackson.databind.introspect.TestNamingStrategyStd.testUpperSnakeCaseTranslations']
jackson-databind(cd3c6a9dd929820d4fc32457f4861fb5c5893f97);D:\Universita\FlakyPaper\DataSet\CSV\jackson-databind(cd3c6a9dd929820d4fc32457f4861fb5c5893f97).csv;0;0;1;['com.fasterxml.jackson.databind.jsonschema.TestGenerateJsonSchema.testUnwrapping'];['com.fasterxml.jackson.databind.jsonschema.TestGenerateJsonSchema.testUnwrapping']
jackson-dataformat-xml;D:\Universita\FlakyPaper\DataSet\CSV\jackson-dataformat-xml.csv;0;0;8;['com.fasterxml.jackson.dataformat.xml.jaxb.AttributesWithJAXBTest.testTwoAttributes', 'com.fasterxml.jackson.dataformat.xml.jaxb.WithJAXBAnnotationsTest.testPersonAsXml', 'com.fasterxml.jackson.dataformat.xml.lists.Issue101UnwrappedListAttributesTest.testWithTwoAttributes', 'com.fasterxml.jackson.dataformat.xml.lists.ListAnnotationSharingTest.testAnnotationSharing', 'com.fasterxml.jackson.dataformat.xml.misc.UnwrappingWithXMLTest.testUnwrappingWithAttribute', 'com.fasterxml.jackson.dataformat.xml.ser.TestIndentation.testMultiLevel172', 'com.fasterxml.jackson.dataformat.xml.ser.TestJDKSerializability.testMapper', 'com.fasterxml.jackson.dataformat.xml.ser.TestSerializationAttr.testIssue6'];['com.fasterxml.jackson.dataformat.xml.jaxb.AttributesWithJAXBTest.testTwoAttributes', 'com.fasterxml.jackson.dataformat.xml.jaxb.WithJAXBAnnotationsTest.testPersonAsXml', 'com.fasterxml.jackson.dataformat.xml.lists.Issue101UnwrappedListAttributesTest.testWithTwoAttributes', 'com.fasterxml.jackson.dataformat.xml.lists.ListAnnotationSharingTest.testAnnotationSharing', 'com.fasterxml.jackson.dataformat.xml.misc.UnwrappingWithXMLTest.testUnwrappingWithAttribute', 'com.fasterxml.jackson.dataformat.xml.ser.TestIndentation.testMultiLevel172', 'com.fasterxml.jackson.dataformat.xml.ser.TestJDKSerializability.testMapper', 'com.fasterxml.jackson.dataformat.xml.ser.TestSerializationAttr.testIssue6']
jackson-dataformat-xml(6f6ee8d4ad1f71e3db99af5b20cae4daab3457db);D:\Universita\FlakyPaper\DataSet\CSV\jackson-dataformat-xml(6f6ee8d4ad1f71e3db99af5b20cae4daab3457db).csv;0;0;1;['com.fasterxml.jackson.dataformat.xml.jaxb.ElementWrapperTest.testNoElementWrapper'];['com.fasterxml.jackson.dataformat.xml.jaxb.ElementWrapperTest.testNoElementWrapper']
jackson-dataformats-binary;D:\Universita\FlakyPaper\DataSet\CSV\jackson-dataformats-binary.csv;67;0;32;['com.fasterxml.jackson.dataformat.avro.interop.annotations.AvroEncodeTest.testByteValueApachetoJacksonwithApacheschema', 'com.fasterxml.jackson.dataformat.avro.interop.annotations.AvroEncodeTest.testByteValueApachetoJacksonwithJacksonschema', 'com.fasterxml.jackson.dataformat.avro.interop.annotations.AvroEncodeTest.testByteValueJacksontoJacksonwithApacheschema', 'com.fasterxml.jackson.dataformat.avro.interop.annotations.AvroEncodeTest.testByteValueJacksontoJacksonwithJacksonschema', 'com.fasterxml.jackson.dataformat.avro.interop.annotations.AvroEncodeTest.testDoubleValueApachetoJacksonwithApacheschema', 'com.fasterxml.jackson.dataformat.avro.interop.annotations.AvroEncodeTest.testDoubleValueApachetoJacksonwithJacksonschema', 'com.fasterxml.jackson.dataformat.avro.interop.annotations.AvroEncodeTest.testDoubleValueJacksontoJacksonwithApacheschema', 'com.fasterxml.jackson.dataformat.avro.interop.annotations.AvroEncodeTest.testDoubleValueJacksontoJacksonwithJacksonschema', 'com.fasterxml.jackson.dataformat.avro.interop.annotations.AvroEncodeTest.testIntegerValueApachetoJacksonwithApacheschema', 'com.fasterxml.jackson.dataformat.avro.interop.annotations.AvroEncodeTest.testIntegerValueApachetoJacksonwithJacksonschema', 'com.fasterxml.jackson.dataformat.avro.interop.annotations.AvroEncodeTest.testIntegerValueJacksontoJacksonwithApacheschema', 'com.fasterxml.jackson.dataformat.avro.interop.annotations.AvroEncodeTest.testIntegerValueJacksontoJacksonwithJacksonschema', 'com.fasterxml.jackson.dataformat.avro.interop.annotations.AvroEncodeTest.testLongValueApachetoJacksonwithApacheschema', 'com.fasterxml.jackson.dataformat.avro.interop.annotations.AvroEncodeTest.testLongValueApachetoJacksonwithJacksonschema', 'com.fasterxml.jackson.dataformat.avro.interop.annotations.AvroEncodeTest.testLongValueJacksontoJacksonwithApacheschema', 'com.fasterxml.jackson.dataformat.avro.interop.annotations.AvroEncodeTest.testLongValueJacksontoJacksonwithJacksonschema', 'com.fasterxml.jackson.dataformat.avro.interop.annotations.AvroEncodeTest.testNestedUuidValueApachetoJacksonwithApacheschema', 'com.fasterxml.jackson.dataformat.avro.interop.annotations.AvroEncodeTest.testNestedUuidValueApachetoJacksonwithJacksonschema', 'com.fasterxml.jackson.dataformat.avro.interop.annotations.AvroEncodeTest.testNestedUuidValueJacksontoJacksonwithApacheschema', 'com.fasterxml.jackson.dataformat.avro.interop.annotations.AvroEncodeTest.testNestedUuidValueJacksontoJacksonwithJacksonschema', 'com.fasterxml.jackson.dataformat.avro.interop.annotations.AvroEncodeTest.testShortValueApachetoJacksonwithApacheschema', 'com.fasterxml.jackson.dataformat.avro.interop.annotations.AvroEncodeTest.testShortValueApachetoJacksonwithJacksonschema', 'com.fasterxml.jackson.dataformat.avro.interop.annotations.AvroEncodeTest.testShortValueJacksontoJacksonwithApacheschema', 'com.fasterxml.jackson.dataformat.avro.interop.annotations.AvroEncodeTest.testShortValueJacksontoJacksonwithJacksonschema', 'com.fasterxml.jackson.dataformat.avro.interop.annotations.AvroEncodeTest.testStringValueApachetoJacksonwithApacheschema', 'com.fasterxml.jackson.dataformat.avro.interop.annotations.AvroEncodeTest.testStringValueApachetoJacksonwithJacksonschema', 'com.fasterxml.jackson.dataformat.avro.interop.annotations.AvroEncodeTest.testStringValueJacksontoJacksonwithApacheschema', 'com.fasterxml.jackson.dataformat.avro.interop.annotations.AvroEncodeTest.testStringValueJacksontoJacksonwithJacksonschema', 'com.fasterxml.jackson.dataformat.avro.interop.annotations.AvroEncodeTest.testUuidValueApachetoJacksonwithApacheschema', 'com.fasterxml.jackson.dataformat.avro.interop.annotations.AvroEncodeTest.testUuidValueApachetoJacksonwithJacksonschema', 'com.fasterxml.jackson.dataformat.avro.interop.annotations.AvroEncodeTest.testUuidValueJacksontoJacksonwithApacheschema', 'com.fasterxml.jackson.dataformat.avro.interop.annotations.AvroEncodeTest.testUuidValueJacksontoJacksonwithJacksonschema'];['com.fasterxml.jackson.dataformat.avro.interop.annotations.AvroEncodeTest.testByteValueApachetoJacksonwithApacheschema', 'com.fasterxml.jackson.dataformat.avro.interop.annotations.AvroEncodeTest.testByteValueApachetoJacksonwithJacksonschema', 'com.fasterxml.jackson.dataformat.avro.interop.annotations.AvroEncodeTest.testByteValueJacksontoJacksonwithApacheschema', 'com.fasterxml.jackson.dataformat.avro.interop.annotations.AvroEncodeTest.testByteValueJacksontoJacksonwithJacksonschema', 'com.fasterxml.jackson.dataformat.avro.interop.annotations.AvroEncodeTest.testDoubleValueApachetoJacksonwithApacheschema', 'com.fasterxml.jackson.dataformat.avro.interop.annotations.AvroEncodeTest.testDoubleValueApachetoJacksonwithJacksonschema', 'com.fasterxml.jackson.dataformat.avro.interop.annotations.AvroEncodeTest.testDoubleValueJacksontoJacksonwithApacheschema', 'com.fasterxml.jackson.dataformat.avro.interop.annotations.AvroEncodeTest.testDoubleValueJacksontoJacksonwithJacksonschema', 'com.fasterxml.jackson.dataformat.avro.interop.annotations.AvroEncodeTest.testIntegerValueApachetoJacksonwithApacheschema', 'com.fasterxml.jackson.dataformat.avro.interop.annotations.AvroEncodeTest.testIntegerValueApachetoJacksonwithJacksonschema', 'com.fasterxml.jackson.dataformat.avro.interop.annotations.AvroEncodeTest.testIntegerValueJacksontoJacksonwithApacheschema', 'com.fasterxml.jackson.dataformat.avro.interop.annotations.AvroEncodeTest.testIntegerValueJacksontoJacksonwithJacksonschema', 'com.fasterxml.jackson.dataformat.avro.interop.annotations.AvroEncodeTest.testLongValueApachetoJacksonwithApacheschema', 'com.fasterxml.jackson.dataformat.avro.interop.annotations.AvroEncodeTest.testLongValueApachetoJacksonwithJacksonschema', 'com.fasterxml.jackson.dataformat.avro.interop.annotations.AvroEncodeTest.testLongValueJacksontoJacksonwithApacheschema', 'com.fasterxml.jackson.dataformat.avro.interop.annotations.AvroEncodeTest.testLongValueJacksontoJacksonwithJacksonschema', 'com.fasterxml.jackson.dataformat.avro.interop.annotations.AvroEncodeTest.testNestedUuidValueApachetoJacksonwithApacheschema', 'com.fasterxml.jackson.dataformat.avro.interop.annotations.AvroEncodeTest.testNestedUuidValueApachetoJacksonwithJacksonschema', 'com.fasterxml.jackson.dataformat.avro.interop.annotations.AvroEncodeTest.testNestedUuidValueJacksontoJacksonwithApacheschema', 'com.fasterxml.jackson.dataformat.avro.interop.annotations.AvroEncodeTest.testNestedUuidValueJacksontoJacksonwithJacksonschema', 'com.fasterxml.jackson.dataformat.avro.interop.annotations.AvroEncodeTest.testShortValueApachetoJacksonwithApacheschema', 'com.fasterxml.jackson.dataformat.avro.interop.annotations.AvroEncodeTest.testShortValueApachetoJacksonwithJacksonschema', 'com.fasterxml.jackson.dataformat.avro.interop.annotations.AvroEncodeTest.testShortValueJacksontoJacksonwithApacheschema', 'com.fasterxml.jackson.dataformat.avro.interop.annotations.AvroEncodeTest.testShortValueJacksontoJacksonwithJacksonschema', 'com.fasterxml.jackson.dataformat.avro.interop.annotations.AvroEncodeTest.testStringValueApachetoJacksonwithApacheschema', 'com.fasterxml.jackson.dataformat.avro.interop.annotations.AvroEncodeTest.testStringValueApachetoJacksonwithJacksonschema', 'com.fasterxml.jackson.dataformat.avro.interop.annotations.AvroEncodeTest.testStringValueJacksontoJacksonwithApacheschema', 'com.fasterxml.jackson.dataformat.avro.interop.annotations.AvroEncodeTest.testStringValueJacksontoJacksonwithJacksonschema', 'com.fasterxml.jackson.dataformat.avro.interop.annotations.AvroEncodeTest.testUuidValueApachetoJacksonwithApacheschema', 'com.fasterxml.jackson.dataformat.avro.interop.annotations.AvroEncodeTest.testUuidValueApachetoJacksonwithJacksonschema', 'com.fasterxml.jackson.dataformat.avro.interop.annotations.AvroEncodeTest.testUuidValueJacksontoJacksonwithApacheschema', 'com.fasterxml.jackson.dataformat.avro.interop.annotations.AvroEncodeTest.testUuidValueJacksontoJacksonwithJacksonschema']
jackson-dataformats-binary(0eeb08cfd07a9d23bc22090e17a67da57baf436e);D:\Universita\FlakyPaper\DataSet\CSV\jackson-dataformats-binary(0eeb08cfd07a9d23bc22090e17a67da57baf436e).csv;83;0;15;['com.fasterxml.jackson.dataformat.cbor.seq.SequenceWriterTest.testSimpleSeqWrite', 'com.fasterxml.jackson.dataformat.protobuf.NextXxxParsingTeskt.testNextInt', 'com.fasterxml.jackson.dataformat.protobuf.ReadSimpleTest.testReadPointInt', 'com.fasterxml.jackson.dataformat.protobuf.ReadSimpleTest.testReadPointLong', 'com.fasterxml.jackson.dataformat.protobuf.ReadSimpleTest.testStringArrayWithName', 'com.fasterxml.jackson.dataformat.protobuf.WriteArrayTest.testPointArrayPacked', 'com.fasterxml.jackson.dataformat.protobuf.WriteArrayTest.testPointArraySparse', 'com.fasterxml.jackson.dataformat.protobuf.WriteBinaryTest.testSimpleBinary', 'com.fasterxml.jackson.dataformat.protobuf.WriteSimpleTest.testWriteCoord', 'com.fasterxml.jackson.dataformat.protobuf.WriteSimpleTest.testWritePointInt', 'com.fasterxml.jackson.dataformat.protobuf.WriteStringsTest.testSimpleLongAscii', 'com.fasterxml.jackson.dataformat.protobuf.WriteStringsTest.testSimpleLongThreeByteUTF8', 'com.fasterxml.jackson.dataformat.protobuf.WriteStringsTest.testSimpleLongTwoByteUTF8', 'com.fasterxml.jackson.dataformat.protobuf.WriteStringsTest.testSimpleShort', 'com.fasterxml.jackson.dataformat.smile.seq.SequenceWriterTest.testSimpleSeqWrite'];['com.fasterxml.jackson.dataformat.cbor.seq.SequenceWriterTest.testSimpleSeqWrite', 'com.fasterxml.jackson.dataformat.protobuf.NextXxxParsingTeskt.testNextInt', 'com.fasterxml.jackson.dataformat.protobuf.ReadSimpleTest.testReadPointInt', 'com.fasterxml.jackson.dataformat.protobuf.ReadSimpleTest.testReadPointLong', 'com.fasterxml.jackson.dataformat.protobuf.ReadSimpleTest.testStringArrayWithName', 'com.fasterxml.jackson.dataformat.protobuf.WriteArrayTest.testPointArrayPacked', 'com.fasterxml.jackson.dataformat.protobuf.WriteArrayTest.testPointArraySparse', 'com.fasterxml.jackson.dataformat.protobuf.WriteBinaryTest.testSimpleBinary', 'com.fasterxml.jackson.dataformat.protobuf.WriteSimpleTest.testWriteCoord', 'com.fasterxml.jackson.dataformat.protobuf.WriteSimpleTest.testWritePointInt', 'com.fasterxml.jackson.dataformat.protobuf.WriteStringsTest.testSimpleLongAscii', 'com.fasterxml.jackson.dataformat.protobuf.WriteStringsTest.testSimpleLongThreeByteUTF8', 'com.fasterxml.jackson.dataformat.protobuf.WriteStringsTest.testSimpleLongTwoByteUTF8', 'com.fasterxml.jackson.dataformat.protobuf.WriteStringsTest.testSimpleShort', 'com.fasterxml.jackson.dataformat.smile.seq.SequenceWriterTest.testSimpleSeqWrite']
jackson-dataformats-text;D:\Universita\FlakyPaper\DataSet\CSV\jackson-dataformats-text.csv;121;0;1;['com.fasterxml.jackson.dataformat.yaml.misc.ObjectIdTest.testNativeSerialization'];['com.fasterxml.jackson.dataformat.yaml.misc.ObjectIdTest.testNativeSerialization']
jackson-datatypes-collections;D:\Universita\FlakyPaper\DataSet\CSV\jackson-datatypes-collections.csv;0;0;2;[];[]
jackson-datatypes-collections(8b88868ac3012783fb7f1bda00309c823172e02a);D:\Universita\FlakyPaper\DataSet\CSV\jackson-datatypes-collections(8b88868ac3012783fb7f1bda00309c823172e02a).csv;0;0;2;['com.fasterxml.jackson.datatype.guava.FluentIterableTest.testSerialization', 'com.fasterxml.jackson.datatype.guava.FluentIterableTest.testWrappedSerialization'];['com.fasterxml.jackson.datatype.guava.FluentIterableTest.testSerialization', 'com.fasterxml.jackson.datatype.guava.FluentIterableTest.testWrappedSerialization']
jackson-jakarta-rs-providers;D:\Universita\FlakyPaper\DataSet\CSV\jackson-jakarta-rs-providers.csv;0;0;2;['com.fasterxml.jackson.jakarta.rs.base.cfg.AnnotationBundleKeyTest.testWithClassAnnotations', 'com.fasterxml.jackson.jakarta.rs.base.cfg.AnnotationBundleKeyTest.testWithMethodAnnotationEquals'];['com.fasterxml.jackson.jakarta.rs.base.cfg.AnnotationBundleKeyTest.testWithClassAnnotations', 'com.fasterxml.jackson.jakarta.rs.base.cfg.AnnotationBundleKeyTest.testWithMethodAnnotationEquals']
jackson-jaxrs-providers;D:\Universita\FlakyPaper\DataSet\CSV\jackson-jaxrs-providers.csv;0;0;2;['com.fasterxml.jackson.jaxrs.base.cfg.AnnotationBundleKeyTest.testWithClassAnnotations', 'com.fasterxml.jackson.jaxrs.base.cfg.AnnotationBundleKeyTest.testWithMethodAnnotationEquals'];['com.fasterxml.jackson.jaxrs.base.cfg.AnnotationBundleKeyTest.testWithClassAnnotations', 'com.fasterxml.jackson.jaxrs.base.cfg.AnnotationBundleKeyTest.testWithMethodAnnotationEquals']
jackson-jaxrs-providers(2b70478103b0bd3f9633e088a7e050942ea56c97);D:\Universita\FlakyPaper\DataSet\CSV\jackson-jaxrs-providers(2b70478103b0bd3f9633e088a7e050942ea56c97).csv;0;0;1;['com.fasterxml.jackson.jaxrs.json.jersey.WriteModificationsTest.testIndentationWithResource'];['com.fasterxml.jackson.jaxrs.json.jersey.WriteModificationsTest.testIndentationWithResource']
